0_1	+ 1
9_11m	+ 1 - 2*A^(4) + 3*A^(8) - 4*A^(12) + 6*A^(16) - 5*A^(20) + 5*A^(24) - 4*A^(28) + 2*A^(32) - A^(36)
9_12|4_1*5_2|11n_15m	+ A^(-4) - 2 + 4*A^(4) - 5*A^(8) + 6*A^(12) - 6*A^(16) + 5*A^(20) - 3*A^(24) + 2*A^(28) - A^(32)
9_12m|4_1*5_2m|11n_15	- A^(-32) + 2*A^(-28) - 3*A^(-24) + 5*A^(-20) - 6*A^(-16) + 6*A^(-12) - 5*A^(-8) + 4*A^(-4) - 2 + A^(4)
9_13	- A^(-44) + 2*A^(-40) - 4*A^(-36) + 5*A^(-32) - 6*A^(-28) + 7*A^(-24) - 5*A^(-20) + 4*A^(-16) - 2*A^(-12) + A^(-8)
9_13m	+ A^(8) - 2*A^(12) + 4*A^(16) - 5*A^(20) + 7*A^(24) - 6*A^(28) + 5*A^(32) - 4*A^(36) + 2*A^(40) - A^(44)
9_14|11n_53m	+ A^(-24) - 2*A^(-20) + 3*A^(-16) - 5*A^(-12) + 6*A^(-8) - 6*A^(-4) + 6 - 4*A^(4) + 3*A^(8) - A^(12)
9_14m|11n_53	- A^(-12) + 3*A^(-8) - 4*A^(-4) + 6 - 6*A^(4) + 6*A^(8) - 5*A^(12) + 3*A^(16) - 2*A^(20) + A^(24)
9_15	- A^(-32) + 2*A^(-28) - 4*A^(-24) + 6*A^(-20) - 6*A^(-16) + 7*A^(-12) - 6*A^(-8) + 4*A^(-4) - 2 + A^(4)
9_15m	+ A^(-4) - 2 + 4*A^(4) - 6*A^(8) + 7*A^(12) - 6*A^(16) + 6*A^(20) - 4*A^(24) + 2*A^(28) - A^(32)
9_16	- A^(-48) + 3*A^(-44) - 5*A^(-40) + 6*A^(-36) - 7*A^(-32) + 6*A^(-28) - 5*A^(-24) + 4*A^(-20) - A^(-16) + A^(-12)
9_16m	+ A^(12) - A^(16) + 4*A^(20) - 5*A^(24) + 6*A^(28) - 7*A^(32) + 6*A^(36) - 5*A^(40) + 3*A^(44) - A^(48)
