0_1	+ 1
4_57|4_57ms	+ A^(4) + A^(4)*v + 2*A^(6) + A^(8) - A^(8)*v - 2*A^(10) - A^(12)
4_57s|4_57m	- A^(-12) - 2*A^(-10) + A^(-8) - A^(-8)*v + 2*A^(-6) + A^(-4) + A^(-4)*v
4_59|4_59ms	+ A^(-10) + A^(-8) + A^(-8)*v + A^(-6) - A^(-4) - A^(-2) + 1 + A^(2)
4_59s|4_59m	+ A^(-2) + 1 - A^(2) - A^(4) + A^(6) + A^(8) + A^(8)*v + A^(10)
4_62	+ A^(4)*v^(2) + A^(6)*v - A^(8)*v^(2) - A^(10)*v - A^(12) + A^(12)*v^(2) + A^(14)*v
4_62m	+ A^(-14)*v - A^(-12) + A^(-12)*v^(2) - A^(-10)*v - A^(-8)*v^(2) + A^(-6)*v + A^(-4)*v^(2)
4_63	+ A^(-2)*v + 1 - A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2)
4_63m	+ A^(-8)*v^(2) - A^(-6)*v + A^(-6)*v^(3) - A^(-4)*v^(2) - A^(-2)*v^(3) + 1 + A^(2)*v
4_64	- v^(2) - A^(2)*v - A^(4)*v^(2) + A^(4)*v^(4) + A^(6)*v^(3) + A^(8) - A^(8)*v^(2) - A^(10)*v
4_64m	- A^(-10)*v + A^(-8) - A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v - v^(2)
4_65	- A^(-6)*v - A^(-4) - A^(-2)*v + A^(-2)*v^(3) + v^(2) + A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2)
4_65m	- A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + v^(2) - A^(2)*v + A^(2)*v^(3) - A^(4) - A^(6)*v
4_66|4_66ms	+ A^(8) + 2*A^(10) + A^(12) + A^(12)*v - A^(14) - A^(16) - A^(16)*v - A^(18)
4_66s|4_66m	- A^(-18) - A^(-16) - A^(-16)*v - A^(-14) + A^(-12) + A^(-12)*v + 2*A^(-10) + A^(-8)
4_67|4_67ms|4_69|4_69ms	+ A^(-4) + A^(-2) + A^(-2)*v + 1 + v - A^(2)*v - A^(4) - A^(4)*v - A^(6)
4_67s|4_67m|4_69s|4_69m	- A^(-6) - A^(-4) - A^(-4)*v - A^(-2)*v + 1 + v + A^(2) + A^(2)*v + A^(4)
4_68|4_68ms	- A^(-6) - A^(-4)*v + A^(-2) + 2 + 2*v + 2*A^(2) + A^(2)*v + A^(4)
4_68s|4_68m	+ A^(-4) + 2*A^(-2) + A^(-2)*v + 2 + 2*v + A^(2) - A^(4)*v - A^(6)
4_70|4_70ms|4_82|4_82ms	- A^(6)*v - A^(8) - A^(8)*v - A^(10) + A^(12) + A^(12)*v + A^(14) + A^(14)*v + A^(16)
4_70s|4_70m|4_82s|4_82m	+ A^(-16) + A^(-14) + A^(-14)*v + A^(-12) + A^(-12)*v - A^(-10) - A^(-8) - A^(-8)*v - A^(-6)*v
4_71|4_71ms|4_83|4_83ms	- 1 - A^(2) - A^(2)*v - A^(4)*v + A^(6) + A^(6)*v + A^(8)*v + A^(8)*v^(2) + A^(10)*v
4_71s|4_71m|4_83s|4_83m	+ A^(-10)*v + A^(-8)*v + A^(-8)*v^(2) + A^(-6) + A^(-6)*v - A^(-4)*v - A^(-2) - A^(-2)*v - 1
4_72	+ A^(6)*v - A^(6)*v^(3) + A^(8) - A^(8)*v^(2) - A^(10)*v + A^(10)*v^(3) + A^(12)*v^(2)
4_72m	+ A^(-12)*v^(2) - A^(-10)*v + A^(-10)*v^(3) + A^(-8) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3)
4_73	- A^(-4)*v^(2) - A^(-2)*v + 1 - 2*v^(2) + v^(4) - A^(2)*v + A^(2)*v^(3)
4_73m	- A^(-2)*v + A^(-2)*v^(3) + 1 - 2*v^(2) + v^(4) - A^(2)*v - A^(4)*v^(2)
4_74|4_74ms	- A^(8) + A^(8)*v^(2) - 2*A^(10) + A^(10)*v + 2*A^(10)*v^(2) + A^(12)*v^(3) - A^(16)*v
4_74s|4_74m	- A^(-16)*v + A^(-12)*v^(3) - 2*A^(-10) + A^(-10)*v + 2*A^(-10)*v^(2) - A^(-8) + A^(-8)*v^(2)
4_75|4_75ms	+ A^(-2)*v - 1 + 2*v + v^(2) - A^(2) + 2*A^(2)*v^(2) + A^(6) - A^(6)*v^(2)
4_75s|4_75m	+ A^(-6) - A^(-6)*v^(2) - A^(-2) + 2*A^(-2)*v^(2) - 1 + 2*v + v^(2) + A^(2)*v
4_76|4_76ms	- A^(6)*v - 2*A^(8)*v + A^(10)*v - A^(10)*v^(2) + A^(12) + 2*A^(12)*v + A^(14) + A^(14)*v^(2) - A^(18)
4_76s|4_76m	- A^(-18) + A^(-14) + A^(-14)*v^(2) + A^(-12) + 2*A^(-12)*v + A^(-10)*v - A^(-10)*v^(2) - 2*A^(-8)*v - A^(-6)*v
4_77|4_77ms	- 1 - 2*A^(2) - A^(4)*v + A^(4)*v^(2) + A^(6)*v + 2*A^(6)*v^(2) + A^(8)*v + A^(8)*v^(3) - A^(12)*v
4_77s|4_77m	- A^(-12)*v + A^(-8)*v + A^(-8)*v^(3) + A^(-6)*v + 2*A^(-6)*v^(2) - A^(-4)*v + A^(-4)*v^(2) - 2*A^(-2) - 1
4_78|4_78ms	+ A^(2)*v + 2*A^(4)*v + A^(4)*v^(2) + 2*A^(6)*v^(2) - A^(8) - A^(10) - A^(10)*v^(2) + A^(14)
4_78s|4_78m	+ A^(-14) - A^(-10) - A^(-10)*v^(2) - A^(-8) + 2*A^(-6)*v^(2) + 2*A^(-4)*v + A^(-4)*v^(2) + A^(-2)*v
4_79|4_79ms	+ A^(-4) + 2*A^(-2) + A^(-2)*v + 2*v - A^(2)*v - 2*A^(4)*v + A^(8)*v
4_79s|4_79m	+ A^(-8)*v - 2*A^(-4)*v - A^(-2)*v + 2*v + 2*A^(2) + A^(2)*v + A^(4)
4_80|4_80ms	- A^(-6)*v - A^(-4)*v^(2) + 1 + v^(2) + A^(2)*v
4_80s|4_80m	+ A^(-2)*v + 1 + v^(2) - A^(4)*v^(2) - A^(6)*v
4_81	- A^(-12) - A^(-10)*v + 2*A^(-6)*v + A^(-4)*v^(2)
4_81m	+ A^(4)*v^(2) + 2*A^(6)*v - A^(10)*v - A^(12)
4_86|4_86ms	- A^(6)*v + 2*A^(10)*v + A^(12) + A^(12)*v^(2) - A^(14)*v - A^(16) - A^(16)*v^(2) + A^(20)
4_86s|4_86m	+ A^(-20) - A^(-16) - A^(-16)*v^(2) - A^(-14)*v + A^(-12) + A^(-12)*v^(2) + 2*A^(-10)*v - A^(-6)*v
4_87|4_87ms	- 1 + A^(4) + A^(4)*v^(2) + 2*A^(6)*v - A^(8) - 2*A^(10)*v + A^(14)*v
4_87s|4_87m	+ A^(-14)*v - 2*A^(-10)*v - A^(-8) + 2*A^(-6)*v + A^(-4) + A^(-4)*v^(2) - 1
4_88|4_88ms|4_133|4_133ms	- A^(-6)*v + 2*A^(-2)*v + 2 + v + A^(2) - A^(2)*v - A^(4) - A^(4)*v - A^(6)
4_88s|4_88m|4_133s|4_133m	- A^(-6) - A^(-4) - A^(-4)*v + A^(-2) - A^(-2)*v + 2 + v + 2*A^(2)*v - A^(6)*v
4_89|4_89ms|4_134|4_134ms	- A^(-12) + A^(-8) + A^(-8)*v^(2) + A^(-6) + 2*A^(-6)*v - A^(-4) + A^(-4)*v - A^(-2) - A^(-2)*v - v
4_89s|4_89m|4_134s|4_134m	- v - A^(2) - A^(2)*v - A^(4) + A^(4)*v + A^(6) + 2*A^(6)*v + A^(8) + A^(8)*v^(2) - A^(12)
4_90|4_90ms	- v - A^(2)*v + 2*A^(4)*v + 2*A^(6) + 3*A^(6)*v + 2*A^(8) + A^(8)*v^(2) - A^(12)
4_90s|4_90m	- A^(-12) + 2*A^(-8) + A^(-8)*v^(2) + 2*A^(-6) + 3*A^(-6)*v + 2*A^(-4)*v - A^(-2)*v - v
4_91|4_91ms	- A^(-6) - A^(-4) + A^(-2) + A^(-2)*v^(2) + 2 + 2*v + v^(2) + 3*A^(2)*v - A^(6)*v
4_91s|4_91m	- A^(-6)*v + 3*A^(-2)*v + 2 + 2*v + v^(2) + A^(2) + A^(2)*v^(2) - A^(4) - A^(6)
4_92	+ A^(-8) - 2*A^(-4) + 1 + v^(2) + 2*A^(2)*v - A^(4) - A^(6)*v
4_92m	- A^(-6)*v - A^(-4) + 2*A^(-2)*v + 1 + v^(2) - 2*A^(4) + A^(8)
4_93	- A^(-6)*v - A^(-4) + A^(-2)*v + 1 - A^(2)*v - 2*A^(4) + A^(8)
4_93m	+ A^(-8) - 2*A^(-4) - A^(-2)*v + 1 + A^(2)*v - A^(4) - A^(6)*v
