k0.1	1
k4.56	+ A^(-14)*v - 2*A^(-10)*v - A^(-8) + A^(-6)*v + A^(-4) - A^(-2)*v - 1
k4.56m	-1 - A^2*v + A^4 + A^6*v - A^8 - 2*A^10*v + A^14*v
k4.57	+ A^(-8)*v + A^(-6)*v + A^(-6)*v^(2) - A^(-4) + A^(-4)*v + A^(-4)*v^(2)
k4.57m	- A^(4) + A^(4)*v + A^(4)*v^(2) + A^(6)*v + A^(6)*v^(2) + A^(8)*v
k4.58	- A^(-6) + A^(-6)*v + A^(-6)*v^(2) - A^(-4) - A^(-4)*v + A^(-4)*v^(2) + A^(-4)*v^(3) - A^(-2) + A^(-2)*v^(2)
k4.58m	- A^(2) + A^(2)*v^(2) - A^(4) - A^(4)*v + A^(4)*v^(2) + A^(4)*v^(3) - A^(6) + A^(6)*v + A^(6)*v^(2)
k4.59	+ 2*A^(-14) + A^(-12) + 2*A^(-12)*v + A^(-10)*v - A^(-8)*v - A^(-6)*v
k4.59m	- A^(6)*v - A^(8)*v + A^(10)*v + A^(12) + 2*A^(12)*v + 2*A^(14)
k4.60	+ 2*A^(-14) + A^(-14)*v + A^(-12) + 2*A^(-12)*v + A^(-12)*v^(2) + 2*A^(-10)*v - A^(-8)*v - A^(-6)*v
k4.60m	- A^(6)*v - A^(8)*v + 2*A^(10)*v + A^(12) + 2*A^(12)*v + A^(12)*v^(2) + 2*A^(14) + A^(14)*v
k4.61	+ 2*A^(-2) + 2 + v + 2*A^(2)*v - A^(4) + A^(4)*v^(2)
k4.61m	- A^(-4) + A^(-4)*v^(2) + 2*A^(-2)*v + 2 + v + 2*A^(2)
k4.62	+ 2*A^(-2) + 2 + v + A^(2)*v - A^(4) - A^(6)*v
k4.62m	- A^(-6)*v - A^(-4) + A^(-2)*v + 2 + v + 2*A^(2)
k4.63	+ 2*A^(-8) + A^(-6) + 2*A^(-6)*v - A^(-4) + 2*A^(-4)*v + A^(-4)*v^(2) - A^(-2) + A^(-2)*v^(2)
k4.63m	- A^(2) + A^(2)*v^(2) - A^(4) + 2*A^(4)*v + A^(4)*v^(2) + A^(6) + 2*A^(6)*v + 2*A^(8)
k4.64	+ 2*A^(-8) + A^(-6) + A^(-6)*v - A^(-4) + A^(-4)*v - A^(-2) - A^(-2)*v - v
k4.64m	- v - A^(2) - A^(2)*v - A^(4) + A^(4)*v + A^(6) + A^(6)*v + 2*A^(8)
k4.65	+ 2*A^(-8)*v + A^(-6) + A^(-6)*v + A^(-6)*v^(2) + A^(-4)*v^(2) - A^(-2) - 1
k4.65m	- 1 - A^(2) + A^(4)*v^(2) + A^(6) + A^(6)*v + A^(6)*v^(2) + 2*A^(8)*v
k4.66	+ A^(-10) + A^(-8) + A^(-8)*v + A^(-6) + 2*A^(-6)*v + A^(-4)*v^(2)
k4.66m	+ A^(4)*v^(2) + A^(6) + 2*A^(6)*v + A^(8) + A^(8)*v + A^(10)
k4.67	+ A^(-10)*v + A^(-8)*v + A^(-8)*v^(2) + 2*A^(-6) + A^(-6)*v + A^(-4)
