k0.1	1
k5.214	- A^(-28) + A^(-24) - A^(-20) + A^(-16) - A^(-12) - A^(-10)*v
k5.214m	- A^(10)*v - A^(12) + A^(16) - A^(20) + A^(24) - A^(28)
k5.215	- A^(-6)*v + A^(-6)*v^(3) - 2*A^(-4)*v^(2) + A^(-4)*v^(4) + A^(-2)*v - A^(-2)*v^(3) + 2*v^(2) - v^(4) + A^(2)*v - A^(4) + A^(4)*v^(2)
k5.215m	- A^(-4) + A^(-4)*v^(2) + A^(-2)*v + 2*v^(2) - v^(4) + A^(2)*v - A^(2)*v^(3) - 2*A^(4)*v^(2) + A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3)
k5.216	- A^(-6)*v + A^(-6)*v^(3) - A^(-2)*v + 2*A^(-2)*v^(3) - A^(-2)*v^(5) + 2*v^(2) - v^(4) - A^(2)*v + A^(2)*v^(3) - A^(4) + A^(4)*v^(2)
k5.216m	- A^(-4) + A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3) + 2*v^(2) - v^(4) - A^(2)*v + 2*A^(2)*v^(3) - A^(2)*v^(5) - A^(6)*v + A^(6)*v^(3)
k5.217	- A^(-4)*v^(2) - A^(-2)*v^(3) - A^(2)*v + A^(2)*v^(3) - A^(4) + A^(4)*v^(2)
k5.217m	- A^(-4) + A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3) - A^(2)*v^(3) - A^(4)*v^(2)
k5.218	- A^(-4) - A^(-4)*v^(2) - A^(-2)*v^(3) + v^(2) + A^(2)*v^(3) - A^(6)*v
k5.218m	- A^(-6)*v + A^(-2)*v^(3) + v^(2) - A^(2)*v^(3) - A^(4) - A^(4)*v^(2)
k5.219	- A^(-6)*v - A^(-4) - A^(-4)*v^(2) + 2*v^(2) + A^(2)*v - A^(4)*v^(2) - A^(6)*v
k5.219m	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v + 2*v^(2) - A^(4) - A^(4)*v^(2) - A^(6)*v
k6.1	2 + A^(-16) - A^(-12) + A^(-8) - 2*A^(-4) - A^4 + A^8
k6.1m	2 + A^(-8) - A^(-4) - 2*A^4 + A^8 - A^12 + A^16
k6.2	-1 + A^(-20) - 2*A^(-16) + 2*A^(-12) - 2*A^(-8) + 2*A^(-4) + A^4
k6.2m	-1 + A^(-4) + 2*A^4 - 2*A^8 + 2*A^12 - 2*A^16 + A^20
k6.3	3 - A^(-12) + 2*A^(-8) - 2*A^(-4) - 2*A^4 + 2*A^8 - A^12
k6.4	-A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)
k6.4m	A^12 + A^14 + A^16 - A^20 - A^22
k6.5	-A^(-24) + 2*A^(-20) + A^(-18) - 2*A^(-16) - 2*A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)
k6.5m	A^2 + A^4 - A^6 - A^8 + A^10 + 2*A^12 - 2*A^14 - 2*A^16 + A^18 + 2*A^20 - A^24
k6.6	-1 + A^(-18) + 2*A^(-14) + A^(-12) - 3*A^(-10) - 2*A^(-8) + 2*A^(-6) + 3*A^(-4)
k6.6m	-1 + 3*A^4 + 2*A^6 - 2*A^8 - 3*A^10 + A^12 + 2*A^14 - A^18
k6.7	-A^(-20) - A^(-18) + 2*A^(-14) + 2*A^(-12) - A^(-10) - A^(-8) + A^(-4)
k6.7m	A^4 - A^8 - A^10 + 2*A^12 + 2*A^14 - A^18 - A^20
k6.8	A^(-26) - A^(-24) - 3*A^(-22) + 3*A^(-18) + 2*A^(-16) - 2*A^(-14) - A^(-12) + A^(-10) + A^(-8)
k6.8m	A^8 + A^10 - A^12 - 2*A^14 + 2*A^16 + 3*A^18 - 3*A^22 - A^24 + A^26
k6.9	-2 - A^(-18) - A^(-16) + 2*A^(-14) + 2*A^(-12) - 2*A^(-10) - 2*A^(-8) + 2*A^(-6) + 3*A^(-4) - A^(-2) + A^4
k6.9m	-2 + A^(-4) - A^2 + 3*A^4 + 2*A^6 - 2*A^8 - 2*A^10 + 2*A^12 + 2*A^14 - A^16 - A^18
k6.10	-A^2 + 2*A^6 + 2*A^8 - A^12 - A^14
k6.10m	-A^(-14) - A^(-12) + 2*A^(-8) + 2*A^(-6) - A^(-2)
k6.11	1 - A^(-10) + A^(-6) - A^(-2) + 2*A^2 + A^4 - A^6 - A^8
k6.11m	1 - A^(-8) - A^(-6) + A^(-4) + 2*A^(-2) - A^2 + A^6 - A^10
k6.12	-A^(-24) - A^(-22) + A^(-20) + 2*A^(-18) - A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8) - A^(-6)
k6.12m	-A^6 + A^8 + 2*A^10 + A^12 - 2*A^14 - A^16 + 2*A^18 + A^20 - A^22 - A^24
k6.13	3 + A^(-10) + A^(-8) - A^(-6) - 2*A^(-4) - 2*A^4 - A^6 + A^8 + A^10
k6.14	-1 - A^(-18) + 2*A^(-14) + A^(-12) - 2*A^(-10) - A^(-8) + 2*A^(-6) + A^(-4) - 2*A^(-2) + A^2 + A^4
k6.14m	-1 + A^(-4) + A^(-2) - 2*A^2 + A^4 + 2*A^6 - A^8 - 2*A^10 + A^12 + 2*A^14 - A^18
k6.15	A^(-2) - 2*A^2 + A^4 + 3*A^6 + A^8 - 3*A^10 - 2*A^12 + A^14 + A^16
k6.15m	A^(-16) + A^(-14) - 2*A^(-12) - 3*A^(-10) + A^(-8) + 3*A^(-6) + A^(-4) - 2*A^(-2) + A^2
k6.16	-A^(-30) + 2*A^(-26) - 3*A^(-22) - A^(-20) + 2*A^(-16) - 2*A^(-14) - A^(-12) + A^(-10) + A^(-8)
k6.16m	A^8 + A^10 - A^12 - 2*A^14 + 2*A^16 + 3*A^18 - A^20 - 3*A^22 + 2*A^26 - A^30
k6.17	-A^(-30) + 2*A^(-26) + A^(-24) - 3*A^(-22) - 2*A^(-20) + 2*A^(-18) + 2*A^(-16) - A^(-14) - A^(-12) + A^(-10) + A^(-8)
k6.17m	A^8 + A^10 - A^12 - A^14 + 2*A^16 + 2*A^18 - 2*A^20 - 3*A^22 + A^24 + 2*A^26 - A^30
k6.18	-A^(-30) - A^(-28) + 2*A^(-26) + 2*A^(-24) - 2*A^(-22) - 3*A^(-20) + A^(-18) + 3*A^(-16) - A^(-12) + A^(-8)
k6.18m	A^8 - A^12 + 3*A^16 + A^18 - 3*A^20 - 2*A^22 + 2*A^24 + 2*A^26 - A^28 - A^30
k6.19	-A^(-34) + A^(-30) - A^(-26) + A^(-22) - A^(-18) + A^(-14) + A^(-12)
k6.19m	A^12 + A^14 - A^18 + A^22 - A^26 + A^30 - A^34
k6.20	-A^(-26) + A^(-22) + A^(-20) - A^(-18) - A^(-16) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)
k6.20m	A^4 + A^6 - A^8 - A^10 + A^12 + A^14 - A^16 - A^18 + A^20 + A^22 - A^26
k6.21	-A^(-26) - A^(-24) + A^(-22) + 2*A^(-20) - 2*A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
k6.21m	A^4 - A^8 + 2*A^12 - 2*A^16 + 2*A^20 + A^22 - A^24 - A^26
k6.22	-A^(-30) - A^(-28) + A^(-26) + 2*A^(-24) - A^(-22) - 2*A^(-20) + A^(-18) + 2*A^(-16) - A^(-12) + A^(-8)
k6.22m	A^8 - A^12 + 2*A^16 - 2*A^20 - A^22 + 2*A^24 + A^26 - A^28 - A^30
k6.23	-A^(-30) + A^(-26) - 2*A^(-22) + 3*A^(-18) + A^(-16) - 2*A^(-14) - A^(-12) + A^(-10) + A^(-8)
k6.23m	A^8 + A^10 - A^12 - 2*A^14 + A^16 + 3*A^18 - 2*A^22 + A^26 - A^30
k6.24	-A^(-26) - A^(-24) + A^(-22) + 2*A^(-20) - A^(-18) - 2*A^(-16) + A^(-14) + 3*A^(-12) - 2*A^(-8) + A^(-4)
k6.24m	A^4 - 2*A^8 + 3*A^12 + A^14 - 2*A^16 - A^18 + 2*A^20 + A^22 - A^24 - A^26
k6.25	-A^(-26) + A^(-22) + A^(-20) - 2*A^(-18) - 2*A^(-16) + 2*A^(-14) + 3*A^(-12) - 2*A^(-8) + A^(-4)
k6.25m	A^4 - 2*A^8 + 3*A^12 + 2*A^14 - 2*A^16 - 2*A^18 + A^20 + A^22 - A^26
k6.26	-2 - A^(-18) + 2*A^(-14) + A^(-12) - 3*A^(-10) - A^(-8) + 3*A^(-6) + 2*A^(-4) - 2*A^(-2) + A^2 + A^4
k6.26m	-2 + A^(-4) + A^(-2) - 2*A^2 + 2*A^4 + 3*A^6 - A^8 - 3*A^10 + A^12 + 2*A^14 - A^18
k6.27	-2 - A^(-18) + 2*A^(-14) + A^(-12) - 3*A^(-10) - 2*A^(-8) + 3*A^(-6) + 3*A^(-4) - A^(-2) + A^4
k6.27m	-2 + A^(-4) - A^2 + 3*A^4 + 3*A^6 - 2*A^8 - 3*A^10 + A^12 + 2*A^14 - A^18
k6.28	-A^(-24) + 2*A^(-20) - 3*A^(-16) - A^(-14)+ 4*A^(-12) + 2*A^(-10) - 2*A^(-8) - 2*A^(-6) + A^(-4) + A^(-2)
k6.28m	A^2 + A^4 - 2*A^6 - 2*A^8 + 2*A^10 + 4*A^12 - A^14 - 3*A^16 + 2*A^20 - A^24
k6.29	1 + A^(-16) - 2*A^(-12) - 2*A^(-10) + 3*A^(-8) + 3*A^(-6) - 2*A^(-4) - 3*A^(-2) + 3*A^2 - A^6
k6.29m	1 - A^(-6) + 3*A^(-2) - 3*A^2 - 2*A^4 + 3*A^6 + 3*A^8 - 2*A^10 - 2*A^12 + A^16
k6.30	2 + A^(-16) - 2*A^(-12) - A^(-10) + 3*A^(-8) + 2*A^(-6) - 3*A^(-4) - 3*A^(-2) + 3*A^2 - A^6
k6.30m	2 - A^(-6) + 3*A^(-2) - 3*A^2 - 3*A^4 + 2*A^6 + 3*A^8 - A^10 - 2*A^12 + A^16
k6.31	3 + A^(-10) + A^(-8) - 2*A^(-6) - 2*A^(-4) + 2*A^(-2) - 2*A^2 - 3*A^4 + A^6 + 3*A^8 - A^12
k6.31m	3 - A^(-12) + 3*A^(-8) + A^(-6) - 3*A^(-4) - 2*A^(-2) + 2*A^2 - 2*A^4 - 2*A^6 + A^8 + A^10
k6.33	- A^(-18) - A^(-16) + 2*A^(-14) + 3*A^(-12) - A^(-10) + A^(-10)*v - 2*A^(-8) + A^(-6) - A^(-6)*v + A^(-4) - A^(-2) - 2 - A^(2)*v
k6.33m	-A^(-2)*v - 2 - A^2 + A^4 - A^6*v + A^6 - 2*A^8 + A^10*v - A^10 + 3*A^12 + 2*A^14 - A^16 - A^18
k6.34	- A^(-24) - A^(-24)*v - 2*A^(-22) + 2*A^(-20)*v + 4*A^(-18) + 2*A^(-16) - A^(-16)*v - 2*A^(-14) - A^(-12) + A^(-12)*v + 2*A^(-10) + A^(-8)
k6.34m	+ A^8 + 2*A^10 + A^12*v - A^12 - 2*A^14 - A^16*v + 2*A^16 + 4*A^18 + 2*A^20*v - 2*A^22 - A^24*v - A^24
k6.36	- A^(-12) - A^(-12)*v - 2*A^(-10) - A^(-10)*v - A^(-8) + A^(-8)*v + 2*A^(-6) + A^(-6)*v + 2*A^(-4) - A^(-2)*v - 1
k6.36m	-1 - A^2*v + 2*A^4 + A^6*v + 2*A^6 + A^8*v - A^8 - A^10*v - 2*A^10 - A^12*v - A^12
k6.37	+ A^(-22) + A^(-20) - 3*A^(-18) - 4*A^(-16) - A^(-16)*v - A^(-14)*v + 3*A^(-12) + A^(-12)*v + A^(-10) + A^(-10)*v - A^(-8) - A^(-8)*v - A^(-6) - A^(-6)*v
k6.37m	- A^6*v - A^6 - A^8*v - A^8 - A^10*v - A^10 + A^12*v + 3*A^12 - A^14*v - A^16*v - 4*A^16 - 3*A^18 + A^20 + A^22
k6.38	+ A^(-16)*v + A^(-14) + A^(-14)*v + 2*A^(-12) - A^(-12)*v - A^(-10) - A^(-10)*v - 2*A^(-8) + A^(-4)
k6.38m	A^4 - 2*A^8 - A^10*v - A^10 - A^12*v + 2*A^12 + A^14*v + A^14 + A^16*v
k7.1	-A^(-40) + A^(-36) - A^(-32) + A^(-28) - A^(-24) + A^(-20) + A^(-12)
k7.1m	A^12 + A^20 - A^24 + A^28 - A^32 + A^36 - A^40
k7.2	-A^(-32) + A^(-28) - A^(-24) + 2*A^(-20) - 2*A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
k7.2m	A^4 - A^8 + 2*A^12 - 2*A^16 + 2*A^20 - A^24 + A^28 - A^32
k7.3	-A^(-36) + A^(-32) - 2*A^(-28) + 3*A^(-24) - 2*A^(-20) + 2*A^(-16) - A^(-12) + A^(-8)
k7.3m	A^8 - A^12 + 2*A^16 - 2*A^20 + 3*A^24 - 2*A^28 + A^32 - A^36
k7.4	-A^(-32) + A^(-28) - 2*A^(-24) + 3*A^(-20) - 2*A^(-16) + 3*A^(-12) - 2*A^(-8) + A^(-4)
k7.4m	A^4 - 2*A^8 + 3*A^12 - 2* A^16 + 3*A^20 - 2*A^24 + A^28 - A^32
k7.5	-A^(-36) + 2*A^(-32) - 3*A^(-28) + 3*A^(-24) - 3*A^(-20) + 3*A^(-16) - A^(-12) + A^(-8)
k7.5m	A^8 - A^12 + 3*A^16 - 3*A^20 + 3*A^24 - 3*A^28 + 2*A^32 - A^36
k7.6	-2 - A^(-24) + 2*A^(-20) - 3*A^(-16) + 4*A^(-12) - 3*A^(-8) + 3*A^(-4) + A^4
k7.6m	-2 + A^(-4) + 3*A^4 - 3*A^8 + 4*A^12 - 3*A^16 + 2*A^20 - A^24
k7.7	4 + A^(-16) - 2*A^(-12) + 3*A^(-8) - 4*A^(-4) - 3*A^4 + 3*A^8 - A^12
k7.7m	4 - A^(-12) + 3*A^(-8) - 3*A^(-4) - 4*A^4 + 3*A^8 - 2*A^12 + A^16
k7.8	A^(-32) + A^(-30) - 2*A^(-28) - 2*A^(-26) + A^(-22) - A^(-18) + A^(-16) + A^(-14) + A^(-12)
k7.8m	A^12 + A^14 + A^16 - A^18 + A^22 - 2*A^26 - 2*A^28 + A^30 + A^32
k7.9	-A^(-30) - A^(-28) + 3*A^(-26) + 3*A^(-24) - 2*A^(-22) - 4*A^(-20) + 3*A^(-16) - A^(-14) - 2*A^(-12) + 2*A^(-8) + A^(-6)
k7.9m	A^6 + 2*A^8 - 2*A^12 - A^14 + 3*A^16 - 4*A^20 - 2*A^22 + 3*A^24 + 3*A^26 - A^28 - A^30
k7.10	A^12 + A^14 + A^16 - A^18 - A^20 + A^24 - A^28
k7.10m	-A^(-28) + A^(-24) - A^(-20) - A^(-18) + A^(-16) + A^(-14) + A^(-12)
k7.11	A^4 - A^8 + A^10 + 3*A^12 - 3*A^16 - 2*A^18 + A^20 + A^22
k7.11m	A^(-22) + A^(-20) - 2*A^(-18) - 3*A^(-16) + 3*A^(-12) + A^(-10) - A^(-8) + A^(-4)
k7.12	-1 + A^(-20) - A^(-18) - 3*A^(-16) + 4*A^(-12) + A^(-10) - 3*A^(-8) - A^(-6) + 3*A^(-4) + 2*A^(-2) - A^2
k7.12m	-1 - A^(-2) + 2*A^2 + 3*A^4 - A^6 -3*A^8 + A^10 + 4*A^12 - 3*A^16 - A^18 + A^20
k7.13	A^(-14) - A^(-12) - 3*A^(-10) + 3*A^(-6) + 2*A^(-4) - 2*A^(-2) + 2*A^2 + A^4 - A^6 - A^8
k7.13m	-A^(-8) - A^(-6) + A^(-4) + 2*A^(-2) - 2*A^2 + 2*A^4 +3*A^6 - 3*A^10 - A^12 + A^14
k7.14	-1 + A^(-22) - 2*A^(-18) - 2*A^(-16) + A^(-14) + 3*A^(-12) - A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)
k7.14m	-1 +2*A^4 + A^6 - A^8 - A^10 + 3*A^12 + A^14 - 2*A^16 - 2*A^18 + A^22
k7.15	-A^(-18) + A^(-16) + 3*A^(-14) + A^(-12) - 4*A^(-10) - 4*A^(-8) + A^(-6) + 3*A^(-4) + A^(-2)
k7.15m	A^2 + 3*A^4 + A^6 - 4*A^8 - 4*A^10 + A^12 + 3*A^14 + A^16 - A^18
k7.16	1 + A^2 - A^6 - A^8 + A^12
k7.16m	1 + A^(-12) - A^(-8) - A^(-6) + A^(-2)
k7.17	-A^6 + A^8 + 3*A^10 + A^12 - 3*A^14 - 2*A^16 + 2*A^18 + 2*A^20 - A^22 - A^24
k7.17m	-A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) - 2*A^(-16) - 3*A^(-14) + A^(-12) + 3*A^(-10) + A^(-8) - A^(-6)
k7.18	A^6 + 2*A^8 - 2*A^12 - A^14 + 2*A^16 + A^18 - 2*A^20 - 2*A^22 + A^24 + A^26
k7.18m	A^(-26) + A^(-24) - 2*A^(-22) - 2*A^(-20) + A^18 + 2*A^(-16) - A^14 - 2*A^(-12) + 2*A^(-8) + A^6
k7.19	1 - A^(-14) - 2*A^(-12) + 4*A^(-8) + 3*A^(-6) - 2*A^(-4) - 3*A^(-2) + 2*A^2 - A^6
k7.19m	1 - A^(-6) + 2*A^(-2) - 3*A^2 - 2*A^4 + 3*A^6 + 4*A^8 - 2*A^12 - A^14
k7.20	A^(-28) + A^(-26) - 3*A^(-24) - 4*A^(-22) + 2*A^(-20) + 5*A^(-18) - 4*A^(-14) + 3*A^(-10) + A^(-8) - A^(-6)
k7.20m	-A^6 + A^8 + 3*A^10 - 4*A^14 + 5*A^18 + 2*A^20 - 4*A^22 - 3*A^24 + A^26 + A^28
k7.21	-1 + A^(-8) + A^(-6) - 2*A^(-2) + A^4 + A^6
k7.21m	-1 + A^(-6) + A^(-4) - 2*A^(-2) + A^6 + A^8
k7.22	-A^2 + A^4 + 2*A^6 - 2*A^10 + 2*A^14 + A^16 - A^18 - A^20
k7.22m	-A^(-20) - A^(-18) + A^(-16) + 2*A^(-14) - 2*A^(-10) + 2*A^(-6) + A^(-4) - A^(-2)
k7.23	2 - A^(-8) - 2*A^(-6) + A^(-4) + 4*A^(-2) - 3*A^2 - 2*A^4 + 2*A^6 + 2*A^8 - A^10 - A^12
k7.23m	2 - A^(-12) - A^(-10) + 2*A^(-8) + 2*A^(-6) - 2*A^(-4) - 3*A^(-2) + 4*A^(-2) + A^4 - 2*A^6 + A^8
k7.24	+ A^(-22) + A^(-20) + A^(-20)*v + A^(-18)*v - A^(-16) - A^(-16)*v - A^(-14) - A^(-14)*v - A^(-10) - A^(-8) - A^(-8)*v - A^(-6) - A^(-6)*v
k7.24m	-A^6*v - A^6 - A^8*v - A^10 - A^14*v - A^14 - A^16*v - A^16 + A^18*v + A^20*v + A^20 + A^22
k7.25	- A^(-24)*v - 2*A^(-22) - A^(-20) + A^(-20)*v + 2*A^(-18) + A^(-16) + A^(-12)*v + 2*A^(-10) + A^(-8)
k7.25m	A^8 + 2*A^10 + A^12*v + A^16 + 2*A^18 + A^20*v - A^20 - 2*A^22 - A^24*v
k7.27	+ A^(-22) + A^(-20) + A^(-20)*v - 2*A^(-18) + A^(-18)*v - 2*A^(-16) - 2*A^(-16)*v - 2*A^(-14)*v + A^(-12) + A^(-12)*v + A^(-10)*v - A^(-8) - A^(-8)*v - A^(-6) - A^(-6)*v
k7.27m	-A^6*v - A^6 - A^8*v - A^8 + A^10*v + A^12*v + A^12 - 2*A^14 - 2*A^16*v - 2*A^16 + A^18*v - 2*A^18 + A^20*v + A^20 + A^22
k7.28	+ A^(-34)*v + 2*A^(-32) + A^(-30) - 2*A^(-30)*v - 4*A^(-28) - A^(-28)*v - 4*A^(-26) + A^(-26)*v + A^(-24) + A^(-24)*v + 3*A^(-22) - A^(-22)*v - A^(-20) - A^(-18) + A^(-18)*v + 2*A^(-16) + A^(-16)*v + 3*A^(-14) + A^(-12)
k7.28m	A^12 + 3*A^14 - A^16*v + 2*A^16 + A^18*v - A^18 - A^20 - A^22*v + 3*A^22 + A^24 + A^24 + A^26*v + 4*A^26 - A^28*v - 4*A^28 - 2*A^30*v + A^30 + 2*A^32 + A^34*v
k7.29	+ A^(-26)*v + A^(-24) - A^(-22)*v - A^(-20) + A^(-18)*v + 2*A^(-16) + A^(-16)*v + 2*A^(-14) + A^(-12)
k7.29m	+ A^12 + 2*A^14 + A^16*v + 2*A^16 + A^18 - A^20 - A^22*v + A^24 + A^26
k7.30	+ A^(-8)*v - 2*A^(-4)*v - A^(-2) + 1 + 2*v + 3*A^(2) + A^(4) - A^(4)*v - 2*A^(6) - A^(8)
k7.30m	1 - A^(-8) - 2*A^(-6) - A^(-4)*v + A^(-4) + 3*A^(-2) + 2*v - A^2 - 2*A^4*v + A^8
k7.31	- A^(-14) - 2*A^(-12) - A^(-10)*v + 3*A^(-8) + 2*A^(-6) + 2*A^(-6)*v - A^(-2) - 2*A^(-2)*v - 1 + A^(2)*v + A^(4)
k7.31m	-1 + A^(-4) + A^(-2)*v - 2*A^2*v - A^2 + 2*A^6*v + 2*A^6 - 3*A^8 - A^10*v - 2*A^12 - A^14 
k7.32	+ A^(-8)*v + A^(-6) - A^(-4)*v - 2*A^(-2) - A^(-2)*v - 2 - v - A^(2) - A^(2)*v - A^(4)
k7.32m	-2 - A^(-4) - A^(-2)*v - A^(-2) - v - A^2*v - 2*A^2 - A^4*v + A^6 + A^8*v
k7.33	- A^(-24) - A^(-24)*v - 2*A^(-22) - A^(-22)*v - A^(-20) + A^(-20)*v + 2*A^(-18) + A^(-18)*v + 2*A^(-16) + A^(-12) + A^(-12)*v + 2*A^(-10) + A^(-10)*v + 2*A^(-8)
k7.33m	2*A^8 + A^10*v + 2*A^10 + A^12*v + A^12 + 2*A^16 + A^18*v + 2*A^18 + A^20*v - A^20 - A^22*v - 2*A^22 - A^24*v - A^24
k8.1	2 + A^(-24) - A^(-20) + A^(-16) - 2*A^(-12) + 2*A^(-8) - 2*A^(-4) - A^4 + A^8
k8.1m	2 + A^(-8) - A^(-4) - 2*A^4 + 2*A^8 - 2*A^12 + A^16 - A^20 + A^24
k8.2	1 + A^(-32) - 2*A^(-28) + 2*A^(-24) - 3*A^(-20) + 3*A^(-16) - 2*A^(-12) + 2*A^(-8) - 1*A^(-4)
k8.2m	1 - A^4 + 2*A^8 - 2*A^12 + 3*A^16 - 3*A^20 + 2*A^24 - 2*A^28 + A^32
k8.3	3 + A^(-16) - A^(-12) + 2*A^(-8) - 3*A^(-4) - 3*A^4 + 2*A^8 - A^12 + A^16
k8.4	-3 + A^(-20) - 2*A^(-16) + 3*A^(-12) - 3*A^(-8) + 3*A^(-4) + 2*A^4 - A^8 + A^12
k8.4m	-3 + A^(-12) - A^(-8) + 2*A^(-4) + 3*A^4 - 3*A^8 + 3*A^12 - 2*A^16 + A^20
k8.5	1 - A^4 + 3*A^8 - 3*A^12 + 3*A^16 - 4*A^20 + 3*A^24 - 2*A^28 + A^32
k8.5m	1 + A^(-32) - 2*A^(-28) + 3*A^(-24) - 4*A^(-20) + 3*A^(-16) - 3*A^(-12) + 3*A^(-8) - A^(-4)
k8.6	-1 + A^(-28) - 2*A^(-24) + 3*A^(-20) - 4*A^(-16) + 4*A^(-12) - 4*A^(-8) + 3*A^(-4) + A^4
k8.6m	-1 + A^(-4) + 3*A^4 - 4*A^8 + 4*A^12 - 4*A^16 + 3*A^20 - 2*A^24 + A^28
k8.7	-2 - A^(-8) + 2*A^(-4) + 4*A^4 - 4*A^8 + 4*A^12 - 3*A^16 + 2*A^20 - A^24
k8.7m	-2 - A^(-24) + 2*A^(-20) - 3*A^(-16) + 4*A^(-12) - 4*A^(-8) + 4*A^(-4) + 2*A^4 - A^8
k8.8	5 - A^(-12) + 2*A^(-8) - 3*A^(-4) - 4*A^4 + 4*A^8 - 3*A^12 + 2*A^16 - A^20
k8.8m	5 - A^(-20) + 2*A^(-16) - 3*A^(-12) + 4*A^(-8) - 4*A^(-4) - 3*A^4 + 2*A^8 - A^12
k8.9	5 + A^(-16) - 2*A^(-12) + 3*A^(-8) - 4*A^(-4) - 4*A^4 + 3*A^8 - 2*A^12 + A^16
k8.9m	5 + A^(-16) - 2*A^(-12) + 3*A^(-8) - 4*A^(-4) - 4*A^4 + 3*A^8 - 2*A^12 + A^16
k8.10	-3 - A^(-8) + 2*A^(-4) + 5*A^4 - 4*A^8 + 5*A^12 - 4*A^16 + 2*A^20 - A^24
k8.10m	-3 - A^(-24) + 2*A^(-20) - 4*A^(-16) + 5*A^(-12) - 4*A^(-8) + 5*A^(-4) + 2*A^4 - A^8
k8.11	-2 + A^(-28) - 2*A^(-24) + 3*A^(-20) - 5*A^(-16) + 5*A^(-12) - 4*A^(-8) + 4*A^(-4) + A^4
k8.11m	-2 + A^(-4) + 4*A^4 - 4*A^8 + 5*A^12 - 5*A^16 + 3*A^20 - 2*A^24 + A^28
k8.12	5 + A^(-16) - 2*A^(-12) + 4*A^(-8) - 5*A^(-4) - 5*A^4 + 4*A^8 - 2*A^12 + A^16
k8.13	5 - A^(-12) + 3*A^(-8) - 4*A^(-4) - 5*A^4 + 5*A^8 - 3*A^12 + 2*A^16 - A^20
k8.13m	5 - A^(-20) + 2*A^(-16) - 3*A^(-12) + 5*A^(-8) - 5*A^(-4) - 4*A^4 + 3*A^8 - A^12
k8.14	-2 + A^(-28) - 3*A^(-24) + 4*A^(-20) - 5*A^(-16) + 6*A^(-12) - 5*A^(-8) + 4*A^(-4) + A^4
k8.14m	-2 + A^(-4) + 4*A^4 - 5*A^8 + 6*A^12 - 5*A^16 + 4*A^20 - 3*A^24 + A^28
k8.15	A^(-40) - 3*A^(-36) + 4*A^(-32) - 6*A^(-28) + 6*A^(-24) - 5*A^(-20) + 5*A^(-16) - 2*A^(-12) + 1*A^(-8)
k8.15m	A^8 - 2*A^12 + 5*A^16 - 5*A^20 + 6*A^24 - 6*A^28 + 4*A^32 - 3*A^36 + A^40
k8.16	-4 - A^(-24) + 3*A^(-20) - 5*A^(-16) + 6*A^(-12) - 6*A^(-8) + 6*A^(-4) + 3*A^4 - A^8
k8.16m	-4 - A^(-8) + 3*A^(-4) + 6*A^4 - 6*A^8 + 6*A^12 - 5*A^16 + 3*A^20 - A^24
k8.17	7 + A^(-16) - 3*A^(-12) + 5*A^(-8) - 6*A^(-4) - 6*A^4 + 5*A^8 - 3*A^12 + A^16
k8.18	9 + A^(-16) - 4*A^(-12) + 6*A^(-8) - 7*A^(-4) - 7*A^4 + 6*A^8 - 4*A^12 + A^16
k8.19	A^12 + A^20 - A^32
k8.19m	-A^(-32) + A^(-20) + A^(-12)
k8.20	2 - A^(-20) + A^(-16) - A^(-12) + 2*A^(-8) - A^(-4) - A^4
k8.20m	2 - A^(-4) - A^4 + 2*A^8 - A^12 + A^16 - A^20
k8.21	A^(-28) - 2*A^(-24) + 2*A^(-20) - 3*A^(-16) + 3*A^(-12) - 2*A^(-8) + 2*A^(-4)
k8.21m	2*A^4 - 2*A^8 + 3*A^12 - 3*A^16 + 2*A^20 - 2*A^24 + A^28
k8.22	-A^6 + A^8 + 2*A^10 + A^12 - 2*A^14 + 3*A^18 - 3*A^22 - 2*A^24 + A^26 + A^28
k8.22m	A^(-28) + A^(-26) - 2*A^(-24) - 3*A^(-22) + 3*A^(-18) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8) - A^(-6)
k8.23	A^16 + A^18 + A^20 + 2*A^22 - 4*A^26 - 3*A^28 + 2*A^30 + 3*A^32 - A^34 - 2*A^36 + A^40
k8.23m	A^(-40) - 2*A^(-36) - A^(-34) + 3*A^(-32) + 2*A^(-30) - 3*A^(-28) - 4*A^(-26) + 2*A^(-22) + A^(-20) + A^(-18) + A^(-16)
k8.24	A^16 + A^18 + A^20 + A^22 - 3*A^26 - 2*A^28 + A^30 + 2*A^32 - A^36
