0_1	+ 1
6_36s|6_36m	- A^(-12) - 2*A^(-10) + 2*A^(-8) + 4*A^(-6) + A^(-4) - 3*A^(-2) - 2 + A^(2) + A^(4)
6_37|6_37ms	- A^(-12) - A^(-10) + 3*A^(-8) + 3*A^(-6) - A^(-4) - 4*A^(-2) - 1 + 2*A^(2) + A^(4)
6_37s|6_37m	+ A^(-4) + 2*A^(-2) - 1 - 4*A^(2) - A^(4) + 3*A^(6) + 3*A^(8) - A^(10) - A^(12)
6_38|6_38ms	- 2*A^(2) + 3*A^(6) + 3*A^(8) - 2*A^(12) - A^(14)
6_38s|6_38m	- A^(-14) - 2*A^(-12) + 3*A^(-8) + 3*A^(-6) - 2*A^(-2)
6_39|6_39ms	+ A^(4) - 2*A^(8) - A^(10) + 3*A^(12) + 3*A^(14) - 2*A^(18) - A^(20)
6_39s|6_39m	- A^(-20) - 2*A^(-18) + 3*A^(-14) + 3*A^(-12) - A^(-10) - 2*A^(-8) + A^(-4)
6_40|6_40ms	+ A^(8) + A^(10) - A^(12) - 2*A^(14) + A^(16) + 3*A^(18) + A^(20) - 2*A^(22) - A^(24)
6_40s|6_40m	- A^(-24) - 2*A^(-22) + A^(-20) + 3*A^(-18) + A^(-16) - 2*A^(-14) - A^(-12) + A^(-10) + A^(-8)
6_41|6_41ms	+ A^(4) - A^(8) + 3*A^(12) + A^(14) - 2*A^(16) - 2*A^(18) + A^(22)
6_41s|6_41m	+ A^(-22) - 2*A^(-18) - 2*A^(-16) + A^(-14) + 3*A^(-12) - A^(-8) + A^(-4)
6_42|6_42ms	- A^(-6) + 3*A^(-2) + 2 - 3*A^(2) - 3*A^(4) + A^(6) + 3*A^(8) - A^(12)
6_42s|6_42m	- A^(-12) + 3*A^(-8) + A^(-6) - 3*A^(-4) - 3*A^(-2) + 2 + 3*A^(2) - A^(6)
6_43|6_43ms	+ A^(-4) + A^(-2) - 1 - 2*A^(2) + A^(4) + 3*A^(6) - 3*A^(10) - A^(12) + A^(14) + A^(16)
6_43s|6_43m	+ A^(-16) + A^(-14) - A^(-12) - 3*A^(-10) + 3*A^(-6) + A^(-4) - 2*A^(-2) - 1 + A^(2) + A^(4)
6_44|6_44ms	+ A^(2) + A^(4) - 2*A^(6) - 2*A^(8) + 2*A^(10) + 4*A^(12) - A^(14) - 3*A^(16) + 2*A^(20) - A^(24)
6_44s|6_44m	- A^(-24) + 2*A^(-20) - 3*A^(-16) - A^(-14) + 4*A^(-12) + 2*A^(-10) - 2*A^(-8) - 2*A^(-6) + A^(-4) + A^(-2)
6_45|6_45ms	+ A^(-16) - 2*A^(-12) - 2*A^(-10) + 3*A^(-8) + 3*A^(-6) - 2*A^(-4) - 3*A^(-2) + 1 + 3*A^(2) - A^(6)
6_45s|6_45m	- A^(-6) + 3*A^(-2) + 1 - 3*A^(2) - 2*A^(4) + 3*A^(6) + 3*A^(8) - 2*A^(10) - 2*A^(12) + A^(16)
6_46|6_46ms	- A^(-18) + 2*A^(-14) + A^(-12) - 3*A^(-10) - A^(-8) + 3*A^(-6) + 2*A^(-4) - 2*A^(-2) - 2 + A^(2) + A^(4)
6_46s|6_46m	+ A^(-4) + A^(-2) - 2 - 2*A^(2) + 2*A^(4) + 3*A^(6) - A^(8) - 3*A^(10) + A^(12) + 2*A^(14) - A^(18)
6_47|6_47ms	+ A^(-16) - 2*A^(-12) - A^(-10) + 3*A^(-8) + 2*A^(-6) - 3*A^(-4) - 3*A^(-2) + 2 + 3*A^(2) - A^(6)
6_47s|6_47m	- A^(-6) + 3*A^(-2) + 2 - 3*A^(2) - 3*A^(4) + 2*A^(6) + 3*A^(8) - A^(10) - 2*A^(12) + A^(16)
6_48|6_48ms	- A^(-18) + 2*A^(-14) + A^(-12) - 3*A^(-10) - 2*A^(-8) + 3*A^(-6) + 3*A^(-4) - A^(-2) - 2 + A^(4)
6_48s|6_48m	+ A^(-4) - 2 - A^(2) + 3*A^(4) + 3*A^(6) - 2*A^(8) - 3*A^(10) + A^(12) + 2*A^(14) - A^(18)
6_49|6_49ms	+ A^(-4) + A^(-2) - 1 - 3*A^(2) + 4*A^(6) + 2*A^(8) - 2*A^(10) - 2*A^(12) + A^(16)
6_49s|6_49m	+ A^(-16) - 2*A^(-12) - 2*A^(-10) + 2*A^(-8) + 4*A^(-6) - 3*A^(-2) - 1 + A^(2) + A^(4)
6_50|6_50ms	+ A^(8) + A^(10) - A^(12) - 2*A^(14) + 2*A^(16) + 3*A^(18) - A^(20) - 3*A^(22) + 2*A^(26) - A^(30)
6_50s|6_50m	- A^(-30) + 2*A^(-26) - 3*A^(-22) - A^(-20) + 3*A^(-18) + 2*A^(-16) - 2*A^(-14) - A^(-12) + A^(-10) + A^(-8)
6_51|6_51ms	+ A^(-4) - 2 - 2*A^(2) + 3*A^(4) + 4*A^(6) - 3*A^(10) - A^(12) + A^(14)
6_51s|6_51m	+ A^(-14) - A^(-12) - 3*A^(-10) + 4*A^(-6) + 3*A^(-4) - 2*A^(-2) - 2 + A^(4)
6_52|6_52ms	+ A^(-10) + A^(-8) - 2*A^(-6) - 2*A^(-4) + 2*A^(-2) + 3 - 2*A^(2) - 3*A^(4) + A^(6) + 3*A^(8) - A^(12)
6_52s|6_52m	- A^(-12) + 3*A^(-8) + A^(-6) - 3*A^(-4) - 2*A^(-2) + 3 + 2*A^(2) - 2*A^(4) - 2*A^(6) + A^(8) + A^(10)
6_53|6_53ms	+ A^(-4) - 2 - A^(2) + 3*A^(4) + 2*A^(6) - 2*A^(8) - 2*A^(10) + 2*A^(12) + 2*A^(14) - A^(16) - A^(18)
6_53s|6_53m	- A^(-18) - A^(-16) + 2*A^(-14) + 2*A^(-12) - 2*A^(-10) - 2*A^(-8) + 2*A^(-6) + 3*A^(-4) - A^(-2) - 2 + A^(4)
6_54|6_54s	+ A^(-10) + A^(-8) - A^(-6) - 2*A^(-4) + 3 - 2*A^(4) - A^(6) + A^(8) + A^(10)
6_55|6_55ms	- A^(-6) + 2*A^(-2) + 1 - 3*A^(2) - A^(4) + 3*A^(6) + 3*A^(8) - A^(10) - 2*A^(12)
6_55s|6_55m	- 2*A^(-12) - A^(-10) + 3*A^(-8) + 3*A^(-6) - A^(-4) - 3*A^(-2) + 1 + 2*A^(2) - A^(6)
6_56|6_56ms	+ A^(2) + A^(4) - 2*A^(6) - 2*A^(8) + 2*A^(10) + 5*A^(12) - 4*A^(16) - 2*A^(18) + A^(20) + A^(22)
6_56s|6_56m	+ A^(-22) + A^(-20) - 2*A^(-18) - 4*A^(-16) + 5*A^(-12) + 2*A^(-10) - 2*A^(-8) - 2*A^(-6) + A^(-4) + A^(-2)
6_57|6_57ms	+ A^(-16) - 2*A^(-12) - A^(-10) + 3*A^(-8) + 3*A^(-6) - 2*A^(-4) - 4*A^(-2) + 2*A^(2) + A^(4)
6_57s|6_57m	+ A^(-4) + 2*A^(-2) - 4*A^(2) - 2*A^(4) + 3*A^(6) + 3*A^(8) - A^(10) - 2*A^(12) + A^(16)
